symbol,interval,datetime,open,high,low,close,volume
BTCUSDT,1m,2025-06-06 19:09:00,104526.38,104526.38,104515.92,104516.51,2.76568
BTCUSDT,1m,2025-06-06 19:10:00,104516.5,104516.51,104409.46,104441.86,32.33205
BTCUSDT,1m,2025-06-06 19:11:00,104441.87,104455.12,104441.86,104451.77,3.67512
BTCUSDT,1m,2025-06-06 19:12:00,104451.77,104488.38,104446.54,104488.38,4.74944
BTCUSDT,1m,2025-06-06 19:13:00,104488.38,104581.4,104488.37,104581.4,9.12855
BTCUSDT,1m,2025-06-06 19:14:00,104581.39,104601.87,104567.42,104567.43,7.96695
BTCUSDT,1m,2025-06-06 19:15:00,104567.42,104593.06,104567.42,104586.86,3.68713
BTCUSDT,1m,2025-06-06 19:16:00,104586.86,104586.86,104493.59,104493.59,4.66802
BTCUSDT,1m,2025-06-06 19:17:00,104493.59,104493.6,104468.15,104468.16,1.67781
BTCUSDT,1m,2025-06-06 19:18:00,104468.15,104488.38,104452.98,104488.37,4.2626
BTCUSDT,1m,2025-06-06 19:19:00,104488.37,104509.51,104481.06,104482.65,4.3276
BTCUSDT,1m,2025-06-06 19:20:00,104482.65,104488.38,104453.53,104453.54,3.12152
BTCUSDT,1m,2025-06-06 19:21:00,104453.54,104453.54,104447.03,104447.04,1.35234
BTCUSDT,1m,2025-06-06 19:22:00,104447.04,104447.04,104419.27,104431.43,5.09495
BTCUSDT,1m,2025-06-06 19:23:00,104431.43,104441.87,104330.0,104380.37,28.55496
BTCUSDT,1m,2025-06-06 19:24:00,104380.37,104435.04,104372.09,104372.09,4.97223
BTCUSDT,1m,2025-06-06 19:25:00,104372.09,104402.09,104366.87,104402.08,2.86042
BTCUSDT,1m,2025-06-06 19:26:00,104402.09,104402.09,104348.83,104348.83,10.54549
BTCUSDT,1m,2025-06-06 19:27:00,104348.83,104348.83,104309.8,104317.8,4.05834
BTCUSDT,1m,2025-06-06 19:28:00,104317.81,104317.81,104274.83,104298.27,11.79973
BTCUSDT,1m,2025-06-06 19:29:00,104298.27,104298.27,104298.26,104298.26,3.10179
BTCUSDT,1m,2025-06-06 19:30:00,104298.27,104351.25,104298.26,104351.25,11.0054
BTCUSDT,1m,2025-06-06 19:31:00,104351.25,104351.25,104296.29,104308.78,8.15974
BTCUSDT,1m,2025-06-06 19:32:00,104308.79,104320.86,104294.85,104320.86,2.40441
BTCUSDT,1m,2025-06-06 19:33:00,104320.85,104343.86,104313.43,104313.44,6.75199
BTCUSDT,1m,2025-06-06 19:34:00,104313.43,104316.4,104313.43,104316.4,1.7111
BTCUSDT,1m,2025-06-06 19:35:00,104316.39,104352.06,104316.39,104350.37,2.63557
BTCUSDT,1m,2025-06-06 19:36:00,104350.38,104350.38,104322.58,104323.73,3.86334
BTCUSDT,1m,2025-06-06 19:37:00,104323.73,104323.73,104302.32,104302.32,1.65136
BTCUSDT,1m,2025-06-06 19:38:00,104302.32,104304.04,104291.89,104291.89,14.95619
BTCUSDT,1m,2025-06-06 19:39:00,104291.9,104291.9,104191.68,104206.89,55.87404
BTCUSDT,1m,2025-06-06 19:40:00,104206.89,104254.39,104206.88,104241.95,5.90443
BTCUSDT,1m,2025-06-06 19:41:00,104241.95,104241.95,104220.43,104221.15,6.87895
BTCUSDT,1m,2025-06-06 19:42:00,104221.15,104221.15,104212.04,104212.04,0.62677
BTCUSDT,1m,2025-06-06 19:43:00,104212.04,104212.05,104212.04,104212.05,2.0187
BTCUSDT,1m,2025-06-06 19:44:00,104212.04,104268.84,104212.04,104268.83,6.28182
BTCUSDT,1m,2025-06-06 19:45:00,104268.83,104299.95,104259.14,104278.55,18.65713
BTCUSDT,1m,2025-06-06 19:46:00,104278.55,104278.55,104240.82,104240.83,5.70938
BTCUSDT,1m,2025-06-06 19:47:00,104240.82,104240.83,104220.96,104220.97,3.57089
BTCUSDT,1m,2025-06-06 19:48:00,104220.97,104220.97,104132.71,104148.87,32.85906
BTCUSDT,1m,2025-06-06 19:49:00,104148.88,104191.21,104148.88,104175.44,23.08636
BTCUSDT,1m,2025-06-06 19:50:00,104175.44,104209.32,104170.94,104195.05,13.84615
BTCUSDT,1m,2025-06-06 19:51:00,104195.05,104209.31,104125.9,104139.5,9.60324
BTCUSDT,1m,2025-06-06 19:52:00,104139.5,104139.51,104117.25,104117.26,7.59374
BTCUSDT,1m,2025-06-06 19:53:00,104117.25,104117.26,104013.21,104099.4,35.07768
BTCUSDT,1m,2025-06-06 19:54:00,104099.39,104220.0,104099.39,104182.84,14.93798
BTCUSDT,1m,2025-06-06 19:55:00,104182.84,104182.84,104116.27,104116.27,7.11968
BTCUSDT,1m,2025-06-06 19:56:00,104116.27,104123.39,104078.31,104116.27,7.24194
BTCUSDT,1m,2025-06-06 19:57:00,104116.27,104147.98,104116.27,104135.01,7.15651
BTCUSDT,1m,2025-06-06 19:58:00,104135.01,104172.25,104135.0,104157.61,12.354
BTCUSDT,1m,2025-06-06 19:59:00,104157.6,104273.95,104157.6,104219.8,16.63296
